D2, ANS, ALPHA, EGS, ACCURACY, PROBLEM, CHOICE
1/4, 0, 0, 0, 1, 9.435, 1.1349993
1/4, 0, 0, 1/10, 1, 12.845, 1.085
1/4, 0, 0, 1/5, 1, 9.785, 1.1350002
1/4, 0, 0, 3/10, 1, 5.975, 1.1349998
1/4, 0, 0, 2/5, 1, 13.195, 1.1350002
1/4, 0, 0, 1/2, 1, 13.245, 1.1350002
1/4, 0, 1/5, 0, 1, 9.785, 1.1350002
1/4, 0, 1/5, 1/10, 1, 9.735, 1.1350002
1/4, 0, 1/5, 1/5, 1, 13.595, 1.1349993
1/4, 0, 1/5, 3/10, 1, 6.044, 1.1349998
1/4, 0, 1/5, 2/5, 1, 9.435, 1.085
1/4, 0, 1/5, 1/2, 1, 8.985, 1.1350002
1/4, 0, 2/5, 0, 0, 5.925, 1.1350002
1/4, 0, 2/5, 1/10, 1, 13.595, 1.085
1/4, 0, 2/5, 1/5, 1, 9.385, 1.085
1/4, 0, 2/5, 3/10, 1, 12.795, 1.1350002
1/4, 0, 2/5, 2/5, 1, 9.021, 1.1350002
1/4, 0, 2/5, 1/2, 1, 9.385, 1.1350002
1/4, 0, 3/5, 0, 1, 9.785, 1.1350002
1/4, 0, 3/5, 1/10, 1, 9.385, 1.1350002
1/4, 0, 3/5, 1/5, 1, 9.385, 1.1350002
1/4, 0, 3/5, 3/10, 1, 5.975, 1.0850005
1/4, 0, 3/5, 2/5, 1, 9.785, 1.1350002
1/4, 0, 3/5, 1/2, 1, 9.385, 1.1350002
1/4, 0, 4/5, 0, 1, 9.385, 1.1350002
1/4, 0, 4/5, 1/10, 1, 12.839, 1.1350002
1/4, 0, 4/5, 1/5, 0, 9.785, 1.1350002
1/4, 0, 4/5, 3/10, 0, 5.57, 1.085
1/4, 0, 4/5, 2/5, 1, 13.245, 1.1350002
1/4, 0, 4/5, 1/2, 1, 13.195, 1.1350002
1/4, 0.05, 0, 0, 1, 5.975, 1.0850005
1/4, 0.05, 0, 1/10, 1, 9.385, 1.1350002
1/4, 0.05, 0, 1/5, 1, 12.795, 1.1350002
1/4, 0.05, 0, 3/10, 1, 9.835, 1.1350002
1/4, 0.05, 0, 2/5, 0, 5.925, 1.085
1/4, 0.05, 0, 1/2, 1, 12.795, 1.1350002
1/4, 0.05, 1/5, 0, 1, 9.785, 1.1350002
1/4, 0.05, 1/5, 1/10, 1, 9.785, 1.1350002
1/4, 0.05, 1/5, 1/5, 1, 5.925, 1.1350002
1/4, 0.05, 1/5, 3/10, 1, 9.335, 1.1350002
1/4, 0.05, 1/5, 2/5, 1, 12.845, 1.1349993
1/4, 0.05, 1/5, 1/2, 1, 13.295, 1.1350002
1/4, 0.05, 2/5, 0, 1, 9.835, 1.1350002
1/4, 0.05, 2/5, 1/10, 1, 13.245, 1.1350002
1/4, 0.05, 2/5, 1/5, 1, 13.195, 1.1350002
1/4, 0.05, 2/5, 3/10, 1, 12.845, 1.1349993
1/4, 0.05, 2/5, 2/5, 1, 12.895, 1.1349993
1/4, 0.05, 2/5, 1/2, 1, 12.795, 1.085
1/4, 0.05, 3/5, 0, 1, 9.385, 1.1350002
1/4, 0.05, 3/5, 1/10, 1, 5.975, 1.1349998
1/4, 0.05, 3/5, 1/5, 1, 12.495, 1.1350002
1/4, 0.05, 3/5, 3/10, 1, 5.925, 1.1350002
1/4, 0.05, 3/5, 2/5, 1, 13.195, 1.085
1/4, 0.05, 3/5, 1/2, 1, 9.335, 1.1350002
1/4, 0.05, 4/5, 0, 1, 13.245, 1.1350002
1/4, 0.05, 4/5, 1/10, 1, 9.421, 1.1350002
1/4, 0.05, 4/5, 1/5, 1, 12.795, 1.085
1/4, 0.05, 4/5, 3/10, 1, 9.785, 1.1350002
1/4, 0.05, 4/5, 2/5, 1, 5.975, 1.0850005
1/4, 0.05, 4/5, 1/2, 1, 12.845, 1.1349993
1/4, 0.1, 0, 0, 1, 9.335, 1.085
1/4, 0.1, 0, 1/10, 1, 5.975, 1.1349998
1/4, 0.1, 0, 1/5, 1, 13.245, 1.085
1/4, 0.1, 0, 3/10, 1, 13.595, 1.085
1/4, 0.1, 0, 2/5, 1, 9.385, 1.1350002
1/4, 0.1, 0, 1/2, 1, 13.245, 1.1350002
1/4, 0.1, 1/5, 0, 1, 9.385, 1.1350002
1/4, 0.1, 1/5, 1/10, 1, 9.785, 1.085
1/4, 0.1, 1/5, 1/5, 1, 5.594, 1.1350002
1/4, 0.1, 1/5, 3/10, 1, 13.245, 1.1350002
1/4, 0.1, 1/5, 2/5, 1, 12.845, 1.1349993
1/4, 0.1, 1/5, 1/2, 1, 5.925, 1.1350002
1/4, 0.1, 2/5, 0, 1, 9.335, 1.085
1/4, 0.1, 2/5, 1/10, 1, 9.835, 1.085
1/4, 0.1, 2/5, 1/5, 1, 9.435, 1.1349993
1/4, 0.1, 2/5, 3/10, 0, 5.975, 1.0850005
1/4, 0.1, 2/5, 2/5, 1, 9.385, 1.1350002
1/4, 0.1, 2/5, 1/2, 1, 12.795, 1.1350002
1/4, 0.1, 3/5, 0, 1, 9.735, 1.1350002
1/4, 0.1, 3/5, 1/10, 1, 5.975, 1.0850005
1/4, 0.1, 3/5, 1/5, 0, 9.385, 1.1350002
1/4, 0.1, 3/5, 3/10, 1, 9.835, 1.1350002
1/4, 0.1, 3/5, 2/5, 1, 13.645, 1.1349993
1/4, 0.1, 3/5, 1/2, 1, 9.785, 1.1350002
1/4, 0.1, 4/5, 0, 1, 9.385, 1.1350002
1/4, 0.1, 4/5, 1/10, 1, 9.335, 1.1350002
1/4, 0.1, 4/5, 1/5, 1, 9.785, 1.1350002
1/4, 0.1, 4/5, 3/10, 1, 9.037, 1.1350002
1/4, 0.1, 4/5, 2/5, 1, 9.062, 1.1349993
1/4, 0.1, 4/5, 1/2, 1, 13.245, 1.1350002
1/4, 0.15, 0, 0, 1, 14.101, 1.1350002
1/4, 0.15, 0, 1/10, 1, 9.335, 1.1350002
1/4, 0.15, 0, 1/5, 1, 9.427, 1.085
1/4, 0.15, 0, 3/10, 1, 8.985, 1.1350002
1/4, 0.15, 0, 2/5, 1, 9.335, 1.1350002
1/4, 0.15, 0, 1/2, 1, 12.795, 1.1350002
1/4, 0.15, 1/5, 0, 1, 9.335, 1.085
1/4, 0.15, 1/5, 1/10, 1, 5.975, 1.1349998
1/4, 0.15, 1/5, 1/5, 1, 5.925, 1.1350002
1/4, 0.15, 1/5, 3/10, 0, 5.535, 1.1350002
1/4, 0.15, 1/5, 2/5, 1, 12.795, 1.1350002
1/4, 0.15, 1/5, 1/2, 1, 13.645, 1.0849991
1/4, 0.15, 2/5, 0, 1, 9.385, 1.1350002
1/4, 0.15, 2/5, 1/10, 1, 9.